IS IMPLEMENTED	IS CODE UP TO DATE	ITEM NAME	REQUIRED PROF	RARITIES	MATERIALS	QTY PER CRAFT	ITEM EFFECT QLTY	CUSTOMIZABLE	CRAFTING NAME	ITEM TYPE
No	No	Round Cut Topaz	Jewelcrafter	white-orange	1x Rough Topaz, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Round	Cut Gem
No	No	Round Cut Emerald	Jewelcrafter	white-orange	1x Rough Emerald, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Round	Cut Gem
No	No	Round Cut Ruby	Jewelcrafter	white-orange	1x Rough Ruby, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Round	Cut Gem
No	No	Round Cut Sapphire	Jewelcrafter	white-orange	1x Rough Sapphire, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Round	Cut Gem
No	No	Round Cut Diamond	Jewelcrafter	white-orange	1x Rough Diamond, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Round	Cut Gem
										
No	No	Square Cut Topaz	Jewelcrafter	white-orange	1x Rough Topaz, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Square	Cut Gem
No	No	Square Cut Emerald	Jewelcrafter	white-orange	1x Rough Emerald, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Square	Cut Gem
No	No	Square Cut Ruby	Jewelcrafter	white-orange	1x Rough Ruby, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Square	Cut Gem
No	No	Square Cut Sapphire	Jewelcrafter	white-orange	1x Rough Sapphire, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Square	Cut Gem
										
No	No	Triangle Cut Topaz	Jewelcrafter	white-orange	1x Rough Topaz, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Triangle	Cut Gem
No	No	Triangle Cut Emerald	Jewelcrafter	white-orange	1x Rough Emerald, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Triangle	Cut Gem
No	No	Triangle Cut Ruby	Jewelcrafter	white-orange	1x Rough Ruby, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Triangle	Cut Gem
No	No	Triangle Cut Sapphire	Jewelcrafter	white-orange	1x Rough Sapphire, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Triangle	Cut Gem
No	No	Triangle Cut Diamond	Jewelcrafter	white-orange	1x Rough Diamond, 1x Diamond Cutting Blade, 1x Water Flask	1	Yes	No	Cut Gemstone: Triangle	Cut Gem
										
No	No	Cut Exacting Gem	Jewelcrafter	white-orange	1x Rough Gem, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No		Generic Material
No	No	Briolette Exacting Cut Topaz	Jewelcrafter	white-orange	1x Rough Topaz, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Briolette	Cut Exacting Gem
No	No	Briolette Exacting Cut Emerald	Jewelcrafter	white-orange	1x Rough Emerald, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Briolette	Cut Exacting Gem
No	No	Briolette Exacting Cut Ruby	Jewelcrafter	white-orange	1x Rough Ruby, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Briolette	Cut Exacting Gem
No	No	Briolette Exacting Cut Sapphire	Jewelcrafter	white-orange	1x Rough Sapphire, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Briolette	Cut Exacting Gem
No	No	Briolette Exacting Cut Diamond	Jewelcrafter	white-orange	1x Rough Diamond, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Briolette	Cut Exacting Gem
										
No	No	Heart Exacting Cut Topaz	Jewelcrafter	white-orange	1x Rough Topaz, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Emerald	Jewelcrafter	white-orange	1x Rough Emerald, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Ruby	Jewelcrafter	white-orange	1x Rough Ruby, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Sapphire	Jewelcrafter	white-orange	1x Rough Sapphire, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Diamond	Jewelcrafter	white-orange	1x Rough Diamond, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Blue Topaz	Jewelcrafter	white-orange	1x Rough Blue Topaz, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Black Sapphire	Jewelcrafter	white-orange	1x Rough Black Sapphire, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
No	No	Heart Exacting Cut Fire Diamond	Jewelcrafter	white-orange	1x Rough Fire Diamond, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Heart	Cut Exacting Gem
										
No	No	Trillion Exacting Cut Topaz	Jewelcrafter	white-orange	1x Rough Topaz, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Trillion	Cut Exacting Gem
No	No	Trillion Exacting Cut Emerald	Jewelcrafter	white-orange	1x Rough Emerald, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Trillion	Cut Exacting Gem
No	No	Trillion Exacting Cut Ruby	Jewelcrafter	white-orange	1x Rough Ruby, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Trillion	Cut Exacting Gem
No	No	Trillion Exacting Cut Sapphire	Jewelcrafter	white-orange	1x Rough Sapphire, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Trillion	Cut Exacting Gem
No	No	Trillion Exacting Cut Diamond	Jewelcrafter	white-orange	1x Rough Diamond, 1x Chaos Ember Cutting Blade, 1x Water Flask	1	Yes	No	Exacting Cut Gemstone: Trillion	Cut Exacting Gem
						1	Yes	No	Exacting Cut Gemstone: Trillion	Cut Exacting Gem
		Grind and Polish								
No	No	Ground Gem	Jewelcrafter	white-orange	1x Cut Gem, 1x Grinding Wheel, 1x Blood or Water	1	Yes	Yes	Grind Gemstone	
No	No	Ground Exacting Gem	Jewelcrafter	white-orange	1x Cut Exacting Gem, 1x Grinding Wheel, 1x Blood or Water	1	Yes	Yes	Grind Gemstone	
No	No	Polished Gemstone	Jewelcrafter	white-orange	1x Ground Gem, 1x Polishing Paste, 1x Water Flask	1	Yes	No	Polish Gemstone	
No	No	Polished Exacting Gemstone	Jewelcrafter	white-orange	1x Ground Exacting Gem, 1x Polishing Paste, 1x Water Flask	1	Yes	No	Polish Gemstone	
No	No	Polished Soulgem	Jewelcrafter	white	1x Rough Soulgem, 1x Polishing Paste, 1x Water Flask	1	No	No	Polish Soulgem	
										
		Settings								
No	No	Necklace Bail	Jewelcrafter	white-orange	10x Ore, 10x Silver, 5x Ethereal Dust	1	Yes	Yes		
No	No	Necklace Chain	Jewelcrafter	white-orange	4x Ore, 8x Ore, 8x ore, 1x Necklace Bail	1	Yes	No		
No	No	Ring Band	Jewelcrafter	white-orange	4x Ore, 8x Ore, 8x ore, 1x Ring Setting	1	Yes	No		
No	No	Ring Setting	Jewelcrafter	white-orange	10x Ore, 10x Aurelium, 5x Ethereal Dust	1	Yes	Yes		
										
		Jewelry								
No	No	Necklace	Jewelcrafter	white-orange	1x Polished Exacting Gemstone, 1x Necklace Chain	1	Yes	No		
No	No	Ring	Jewelcrafter	white-orange	1x Polished Gemstone, 1x Ring Band	1	Yes	No		
